Year,Name,Category,From,To,GP,G,A,PTS,+/-,PIM,W,L,T/O,SV%,GAA,OPS,DPS,GPS,PS,pid
1988,Buddy O'Connor,Player,1942,1951,509,140,257,397,,34,,,,,,24.0,9.3,0.0,33.3,o'conbu01
1988,Brad Park,Player,1969,1985,1113,213,683,896,363,1429,,,,,,66.3,77.2,0.0,143.5,parkbr01
1988,Edward Snider,Builder,,,,,,,,,,,,,,,,,,
1987,Bobby Clarke,Player,1970,1984,1144,358,852,1210,507,1453,,,,,,79.3,26.8,0.0,106.1,clarkbo01
1987,Ed Giacomin,Player,1966,1978,610,0,9,9,0,68,290,209,96,.902,2.82,0.0,0.0,110.9,110.9,giacoed01
1987,Jacques Laperriere,Player,1963,1974,692,40,242,282,256,679,,,,,,16.6,53.8,0.0,70.3,laperja01
1987,Matt Pavelich,Referee/Linesman,,,,,,,,,,,,,,,,,,
1987,John Ziegler,Builder,,,,,,,,,,,,,,,,,,
1986,Leo Boivin,Player,1952,1970,1150,72,250,322,-212,1196,,,,,,16.1,53.5,0.0,69.6,boivile01
1986,Bill Hanley,Builder,,,,,,,,,,,,,,,,,,
1986,Dave Keon,Player,1961,1982,1296,396,590,986,61,117,,,,,,66.9,19.6,0.0,86.5,keonda01
1986,Serge Savard,Player,1967,1983,1040,106,333,439,462,590,,,,,,24.7,77.8,0.0,102.5,savarse01
1985,Gerry Cheevers,Player,1962,1980,418,0,11,11,0,214,227,104,76,.901,2.89,0.0,0.0,74.5,74.5,cheevge01
1985,John Mariucci,Builder,1941,1948,224,11,34,45,,328,,,,,,0.3,9.6,0.0,10.0,
1985,Bert Olmstead,Player,1949,1962,848,181,421,602,-1,887,,,,,,41.9,14.6,0.0,56.5,olmstbe01
1985,Rudy Pilous,Builder,,,,,,,,,,,,,,,,,,
1985,Jean Ratelle,Player,1961,1981,1280,491,776,1267,236,276,,,,,,94.8,24.0,0.0,118.9,ratelje01
1984,Phil Esposito,Player,1964,1981,1282,717,873,1590,252,910,,,,,,142.9,20.7,0.0,163.7,esposph01
1984,Punch Imlach,Builder,,,,,,,,,,,,,,,,,,
1984,Jacques Lemaire,Player,1968,1979,853,366,469,835,344,217,,,,,,68.1,18.5,0.0,86.6,lemaija01
1984,Jake Milford,Builder,,,,,,,,,,,,,,,,,,
1984,Bernie Parent,Player,1966,1979,608,0,12,12,0,116,271,198,119,.915,2.55,0.0,0.0,124.9,124.9,parenbe01
1983,Ken Dryden,Player,1971,1979,397,0,19,19,0,12,258,57,74,.922,2.24,0.0,0.0,98.6,98.6,drydeke01
1983,Bobby Hull,Player,1958,1980,1063,610,560,1170,249,634,,,,,,116.0,20.3,0.0,136.3,hullbo01
1983,Stan Mikita,Player,1959,1980,1396,541,926,1467,329,1264,,,,,,117.1,26.4,0.0,143.5,mikitst01
1983,Harry Sinden,Builder,,,,,,,,,,,,,,,,,,
1982,Yvan Cournoyer,Player,1964,1979,968,428,435,863,254,233,,,,,,72.6,18.7,0.0,91.3,cournyv01
1982,Emile Francis,Builder,1947,1952,95,0,0,0,,6,32,52,10,,3.75,0.0,0.0,8.1,8.1,
1982,Rod Gilbert,Player,1961,1978,1065,406,615,1021,38,510,,,,,,78.5,16.3,0.0,94.9,gilbero01
1982,Norm Ullman,Player,1956,1975,1410,490,739,1229,7,710,,,,,,97.1,21.4,0.0,118.4,ullmano01
1981,John Ashley,Referee/Linesman,,,,,,,,,,,,,,,,,,
1981,John Bucyk,Player,1956,1978,1540,556,813,1369,-7,493,,,,,,104.0,18.4,0.0,122.4,bucykjo01
1981,Frank Mahovlich,Player,1957,1974,1181,533,570,1103,266,1054,,,,,,99.5,22.3,0.0,121.7,mahovfr01
1981,Allan Stanley,Player,1949,1969,1244,100,333,433,117,792,,,,,,29.8,73.8,0.0,103.6,stanlal01
1980,Jack Butterfield,Builder,,,,,,,,,,,,,,,,,,
