pid,Player,info
actonke01,Keith Acton,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-8,\xa0170lb\xa0(173cm,\xa077kg) ', ' Born:  April 15,\xa01958   in\xa0Stouffville,\xa0Ontario  ca ', 'Draft: Montreal, 6th round (103rd\xa0overall), 1978\xa0NHL\xa0Amateur ', 'Amateur Teams: Peterborough\xa0Petes ']"
actonwi01,Will Acton,"['Position: C\n', '6-1,\xa0199lb\xa0(185cm,\xa090kg) ', ' Born:  July 16,\xa01987   in\xa0Edina,\xa0Minnesota  us ', 'Amateur Teams: Lake\xa0Superior\xa0State ', 'Pronunciation: \\AK-tuhn\\', 'Twitter:\n@BillTheBod']"
adairji01,Jim Adair,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-11,\xa0180lb\xa0(180cm,\xa081kg) ', ' Born:  September 29,\xa01948   in\xa0Brockville,\xa0Ontario  ca ', 'Amateur Teams: Hamilton\xa0Red\xa0Wings ']"
adamdo01,Douglas Adam,"['Position: LW\xa0•\xa0    Shoots: Left\n', '5-11,\xa0165lb\xa0(180cm,\xa074kg) ', ' Born:  September 7,\xa01923   in\xa0Toronto,\xa0Ontario  ca ', 'Died: December\xa024,\xa02001  ']"
adamlu01,Luke Adam,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-2,\xa0206lb\xa0(188cm,\xa093kg) ', "" Born:  June 18,\xa01990   in\xa0St.\xa0John's,\xa0Newfoundland and Labrador  ca "", 'Draft: Buffalo, 2nd round (44th\xa0overall), 2008\xa0NHL\xa0Entry ', ""Amateur Teams: Cape\xa0Breton\xa0Screaming\xa0Eagles, Montreal\xa0Juniors, St.\xa0John's\xa0Fog\xa0Devils "", 'Pronunciation: \\LEWK A-duhm\\', 'Twitter:\n@LukeJAdam']"
adamru01,Russ Adam,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-10,\xa0185lb\xa0(178cm,\xa083kg) ', ' Born:  May 5,\xa01961   in\xa0Windsor,\xa0Ontario  ca ', 'Draft: Toronto, 7th round (137th\xa0overall), 1980\xa0NHL\xa0Entry ', 'Amateur Teams: Kitchener\xa0Rangers, Windsor\xa0Spitfires ']"
adamipe01,Petr Adamik,"['\n', '  ']"
adamsbr01,Bryan Adams,"['Position: C\xa0•\xa0    Shoots: Left\n', '6-0,\xa0185lb\xa0(183cm,\xa083kg) ', ' Born:  March 20,\xa01977   in\xa0Fort\xa0St.\xa0James,\xa0British Columbia  ca ', 'Amateur Teams: Michigan\xa0State ']"
adamsco01,Collin Adams,"['Position: LW\xa0•\xa0    Shoots: Left\n', '5-8,\xa0172lb\xa0(173cm,\xa078kg) ', ' Born:  April 24,\xa01998   in\xa0-,\xa0United\xa0States  us ', 'Draft: NY Islanders, 6th round (170th\xa0overall), 2016\xa0NHL\xa0Entry ', 'Pronunciation: \\KAW-lihn A-duhmz\\']"
adamscr01,Craig Adams,"['Position: RW\xa0•\xa0    Shoots: Right\n', '6-0,\xa0197lb\xa0(183cm,\xa089kg) ', ' Born:  April 26,\xa01977   in\xa0Seria,\xa0Brunei\xa0Darussalam  bn ', 'Draft: Hartford, 9th round (223rd\xa0overall), 1996\xa0NHL\xa0Entry ', 'Amateur Teams: Harvard ', 'Pronunciation: \\A-duhmz\\']"
adamsgr01,Greg Adams,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-1,\xa0190lb\xa0(185cm,\xa086kg) ', ' Born:  May 31,\xa01960   in\xa0Duncan,\xa0British Columbia  ca ']"
adamsgr02,Greg Adams,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-3,\xa0195lb\xa0(190cm,\xa088kg) ', ' Born:  August 15,\xa01963   in\xa0Nelson,\xa0British Columbia  ca ', 'Amateur Teams: Northern\xa0Arizona, Victoria\xa0Cougars ']"
adamsja01,Jack Adams,"['Position: C\xa0•\xa0    Shoots: Right\n', '5-9,\xa0175lb\xa0(175cm,\xa079kg) ', ' Born:  June 14,\xa01894   in\xa0Fort\xa0William,\xa0Ontario  ca ', 'Died: May\xa01,\xa01968  ', 'Hall of Fame: Inducted as Player\xa01959 (Full\xa0List)', 'As Coach: 20\xa0Yrs, 413‑390‑161,\xa0987\xa0Pts. (Full\xa0Record) ']"
