Team,Name,Age,Pos,Birthplace,Nat.,YR_INT,pid
Boston Bruins,Don McKenney,27.0,C,"Smiths Falls, ON",CA,1962,mckendo01
Chicago Black Hawks,Pierre Pilote,30.0,D,"Kenogami, QC",CA,1962,pilotpi01
Detroit Red Wings,Gordie Howe,33.0,RW,"Floral, SK",CA,1962,howego01
Montreal Canadiens,Jean Beliveau,30.0,C,"Trois-Rivieres, QC",CA,1962,belivje01
New York Rangers,Andy Bathgate,29.0,RW,"Winnipeg, MB",CA,1962,bathgan01
Toronto Maple Leafs,George Armstrong,31.0,RW,"Skead, ON",CA,1962,armstge01
Boston Bruins,Fern Flaman,34.0,D,"Dysart, SK",CA,1961,flamafe01
Chicago Black Hawks,Ed Litzenberger,28.0,C/RW,"Neudorf, SK",CA,1961,litzeed01
Detroit Red Wings,Gordie Howe,32.0,RW,"Floral, SK",CA,1961,howego01
Montreal Canadiens,Doug Harvey,36.0,D,"Montreal, QC",CA,1961,harvedo01
New York Rangers,Red Sullivan,31.0,C,"Peterborough, ON",CA,1961,sullire01
Toronto Maple Leafs,George Armstrong,30.0,RW,"Skead, ON",CA,1961,armstge01
Boston Bruins,Fern Flaman,33.0,D,"Dysart, SK",CA,1960,flamafe01
Chicago Black Hawks,Ed Litzenberger,27.0,C/RW,"Neudorf, SK",CA,1960,litzeed01
Detroit Red Wings,Gordie Howe,31.0,RW,"Floral, SK",CA,1960,howego01
Montreal Canadiens,Maurice Richard,38.0,RW,"Montreal, QC",CA,1960,richama01
New York Rangers,Red Sullivan,30.0,C,"Peterborough, ON",CA,1960,sullire01
Toronto Maple Leafs,George Armstrong,29.0,RW,"Skead, ON",CA,1960,armstge01
Boston Bruins,Fern Flaman,32.0,D,"Dysart, SK",CA,1959,flamafe01
Chicago Black Hawks,Ed Litzenberger,26.0,C/RW,"Neudorf, SK",CA,1959,litzeed01
Detroit Red Wings,Gordie Howe,30.0,RW,"Floral, SK",CA,1959,howego01
Montreal Canadiens,Maurice Richard,37.0,RW,"Montreal, QC",CA,1959,richama01
New York Rangers,Red Sullivan,29.0,C,"Peterborough, ON",CA,1959,sullire01
Toronto Maple Leafs,George Armstrong,28.0,RW,"Skead, ON",CA,1959,armstge01
Boston Bruins,Fern Flaman,31.0,D,"Dysart, SK",CA,1958,flamafe01
Chicago Black Hawks,No Captain,,,,,1958,
Detroit Red Wings,Red Kelly,30.0,D/C,"Simcoe, ON",CA,1958,kellyre01
Montreal Canadiens,Maurice Richard,36.0,RW,"Montreal, QC",CA,1958,richama01
New York Rangers,Red Sullivan,28.0,C,"Peterborough, ON",CA,1958,sullire01
Toronto Maple Leafs,George Armstrong,27.0,RW,"Skead, ON",CA,1958,armstge01
Boston Bruins,Fern Flaman,30.0,D,"Dysart, SK",CA,1957,flamafe01
Chicago Black Hawks,Gus Mortson,32.0,D,"New Liskeard, ON",CA,1957,mortsgu01
Detroit Red Wings,Red Kelly,29.0,D/C,"Simcoe, ON",CA,1957,kellyre01
Montreal Canadiens,Maurice Richard,35.0,RW,"Montreal, QC",CA,1957,richama01
New York Rangers,Harry Howell,24.0,D,"Hamilton, ON",CA,1957,howelha01
Toronto Maple Leafs,Ted Kennedy,31.0,C,"Humberstone, ON",CA,1957,kennete01
Toronto Maple Leafs,Jimmy Thomson,29.0,D,"Winnipeg, MB",CA,1957,thomsji01
Boston Bruins,Fern Flaman,29.0,D,"Dysart, SK",CA,1956,flamafe01
Chicago Black Hawks,Gus Mortson,31.0,D,"New Liskeard, ON",CA,1956,mortsgu01
Detroit Red Wings,Ted Lindsay,30.0,LW,"Renfrew, ON",CA,1956,lindste01
Montreal Canadiens,Butch Bouchard,36.0,D,"Montreal, QC",CA,1956,bouchbu01
New York Rangers,Harry Howell,23.0,D,"Hamilton, ON",CA,1956,howelha01
Toronto Maple Leafs,Sid Smith,30.0,LW,"Toronto, ON",CA,1956,smithsi01
Boston Bruins,Ed Sandford,26.0,LW,"New Toronto, ON",CA,1955,sandfed01
Boston Bruins,Milt Schmidt,36.0,C/D,"Kitchener, ON",CA,1955,schmimi01
Chicago Black Hawks,Gus Mortson,30.0,D,"New Liskeard, ON",CA,1955,mortsgu01
Detroit Red Wings,Ted Lindsay,29.0,LW,"Renfrew, ON",CA,1955,lindste01
Montreal Canadiens,Butch Bouchard,35.0,D,"Montreal, QC",CA,1955,bouchbu01
New York Rangers,Don Raleigh,28.0,C,"Kenora, ON",CA,1955,raleido01
Toronto Maple Leafs,Ted Kennedy,29.0,C,"Humberstone, ON",CA,1955,kennete01
Boston Bruins,Milt Schmidt,35.0,C/D,"Kitchener, ON",CA,1954,schmimi01
Chicago Black Hawks,Bill Gadsby,26.0,D,"Calgary, AB",CA,1954,gadsbbi01
Detroit Red Wings,Ted Lindsay,28.0,LW,"Renfrew, ON",CA,1954,lindste01
Montreal Canadiens,Butch Bouchard,34.0,D,"Montreal, QC",CA,1954,bouchbu01
New York Rangers,Don Raleigh,27.0,C,"Kenora, ON",CA,1954,raleido01
New York Rangers,Allan Stanley,27.0,D,"Timmins, ON",CA,1954,stanlal01
Toronto Maple Leafs,Ted Kennedy,28.0,C,"Humberstone, ON",CA,1954,kennete01
Boston Bruins,Milt Schmidt,34.0,C/D,"Kitchener, ON",CA,1953,schmimi01
Chicago Black Hawks,Bill Gadsby,25.0,D,"Calgary, AB",CA,1953,gadsbbi01
Detroit Red Wings,Ted Lindsay,27.0,LW,"Renfrew, ON",CA,1953,lindste01
Montreal Canadiens,Butch Bouchard,33.0,D,"Montreal, QC",CA,1953,bouchbu01
New York Rangers,Allan Stanley,26.0,D,"Timmins, ON",CA,1953,stanlal01
Toronto Maple Leafs,Ted Kennedy,27.0,C,"Humberstone, ON",CA,1953,kennete01
Boston Bruins,Milt Schmidt,33.0,C/D,"Kitchener, ON",CA,1952,schmimi01
Chicago Black Hawks,Jack Stewart,34.0,D,"Pilot Mound, MB",CA,1952,stewaja01
Detroit Red Wings,Sid Abel,33.0,C/LW,"Melville, SK",CA,1952,abelsi01
Montreal Canadiens,Butch Bouchard,32.0,D,"Montreal, QC",CA,1952,bouchbu01
New York Rangers,Frank Eddolls,30.0,D,"Lachine, QC",CA,1952,eddolfr01
New York Rangers,Allan Stanley,25.0,D,"Timmins, ON",CA,1952,stanlal01
Toronto Maple Leafs,Ted Kennedy,26.0,C,"Humberstone, ON",CA,1952,kennete01
Boston Bruins,Milt Schmidt,32.0,C/D,"Kitchener, ON",CA,1951,schmimi01
Chicago Black Hawks,Jack Stewart,33.0,D,"Pilot Mound, MB",CA,1951,stewaja01
Detroit Red Wings,Sid Abel,32.0,C/LW,"Melville, SK",CA,1951,abelsi01
Montreal Canadiens,Butch Bouchard,31.0,D,"Montreal, QC",CA,1951,bouchbu01
New York Rangers,Frank Eddolls,29.0,D,"Lachine, QC",CA,1951,eddolfr01
Toronto Maple Leafs,Ted Kennedy,25.0,C,"Humberstone, ON",CA,1951,kennete01
Boston Bruins,Jack Crawford,33.0,D,"Dublin, ON",CA,1950,crawfja01
Chicago Black Hawks,Doug Bentley,33.0,LW,"Delisle, SK",CA,1950,bentldo01
Detroit Red Wings,Sid Abel,31.0,C/LW,"Melville, SK",CA,1950,abelsi01
Montreal Canadiens,Butch Bouchard,30.0,D,"Montreal, QC",CA,1950,bouchbu01
New York Rangers,Buddy O'Connor,33.0,C,"Montreal, QC",CA,1950,oconnbu01
Toronto Maple Leafs,Ted Kennedy,24.0,C,"Humberstone, ON",CA,1950,kennete01
Boston Bruins,Jack Crawford,32.0,D,"Dublin, ON",CA,1949,crawfja01
Chicago Black Hawks,Gaye Stewart,25.0,LW,"Fort William, ON",CA,1949,stewaga01
Detroit Red Wings,Sid Abel,30.0,C/LW,"Melville, SK",CA,1949,abelsi01
Montreal Canadiens,Butch Bouchard,29.0,D,"Montreal, QC",CA,1949,bouchbu01
New York Rangers,Neil Colville,34.0,C/D,"Edmonton, AB",CA,1949,colvine01
Toronto Maple Leafs,Ted Kennedy,23.0,C,"Humberstone, ON",CA,1949,kennete01
